Ward,Rainfall,pH,Turbidity,Cases,Risk
Ward2,81,6.264108262370159,1.7402941543046,6,Low
Ward4,72,7.384228594922051,3.5701865352612456,8,Low
Ward2,36,5.724171694926482,1.32822733220264,6,Low
Ward1,112,6.902131902818544,4.238345767847632,14,Medium
Ward4,186,7.095004319788156,2.1717524871027045,13,Medium
Ward1,37,7.533402674302933,2.787128995843998,8,Low
Ward1,142,5.595868674218616,9.41384981672896,21,High
Ward1,110,5.549388280191273,3.689202060506354,9,Low
Ward2,198,6.055342918019485,1.7519171133509481,16,Medium
Ward3,121,5.7010961502576585,8.305943631263078,16,Medium
Ward4,189,5.738878233094757,9.845354023574005,21,High
Ward1,176,8.124884934867694,7.195719271473489,17,Medium
Ward5,145,6.900640068289919,4.106548460396935,13,Medium
Ward4,133,8.016338221257996,2.2535204533245405,13,Medium
Ward2,56,6.156048702692046,4.967454856162254,9,Low
Ward3,48,5.5267380299015585,5.549175368490085,9,Low
Ward5,118,7.350055201465708,3.1029952531532503,11,Medium
Ward5,130,7.87112056785392,2.957492980167603,14,Medium
Ward3,74,5.968650504666656,5.593248883641584,10,Low
Ward1,188,7.058055473098099,8.06766425399457,22,High
Ward5,24,6.678820800921076,1.7270535797058526,4,Low
Ward5,39,7.373891441892221,2.802442702931634,7,Low
Ward3,102,5.641954697325177,7.510282779720819,15,Medium
Ward3,136,8.408693531119717,3.7349058563805038,12,Medium
Ward2,27,7.836766730172679,5.613955289239556,9,Low
Ward4,3,6.838298521196432,9.712113889210316,14,Medium
Ward1,28,7.124678136662119,9.77266333769574,15,Medium
Ward5,52,7.079277801716564,2.218851127649529,8,Low
Ward3,164,5.981185538558948,7.710734734367465,19,High
Ward4,188,6.9401887884201585,5.388169331086659,18,Medium
Ward5,184,8.469255122991115,2.8351560270980967,15,Medium
Ward1,30,7.750517239893979,5.112777946921235,8,Low
Ward5,116,6.135880493931028,8.187438202841893,17,Medium
Ward5,122,5.7658487746977904,2.491206783273407,10,Low
Ward4,179,7.1228554148865655,9.634908889555772,24,High
Ward4,27,7.192626231373561,2.1918666972593464,3,Low
Ward3,11,6.301216059053098,1.733265683895358,5,Low
Ward3,86,7.948022521297338,1.4123036580284614,7,Low
Ward1,172,8.228910852503438,3.496649197182945,12,Medium
Ward1,97,5.533840942608335,7.618183245550707,17,Medium
Ward3,160,7.251879374502237,6.161688767523149,17,Medium
Ward5,195,6.661406287855025,8.525620043811525,22,High
Ward4,121,6.934217520153493,5.266035339059746,12,Medium
Ward2,40,7.838500579551297,9.949283118050912,15,Medium
Ward3,132,7.657268090959941,7.1930448643362395,17,Medium
Ward5,173,5.509053869858789,9.560744069411841,24,High
Ward5,153,5.936674693475191,2.4195706288347996,14,Medium
Ward4,166,8.469865535077222,7.400102128892343,18,Medium
Ward3,38,7.2211957033690215,6.751530740863617,13,Medium
Ward3,67,8.123530800941417,8.630109841962735,13,Medium
Ward1,171,8.47496200948891,8.196950739643574,18,Medium
Ward1,41,8.232318493521513,4.29900979466111,10,Low
Ward5,62,8.02745903352534,3.7501445222788146,7,Low
Ward4,170,5.931828532860829,3.7521841819130493,14,Medium
Ward2,51,7.570683604488243,5.075681499563837,11,Medium
Ward5,143,5.528045733899547,6.190803414883817,17,Medium
Ward1,58,8.016513561824095,5.7051642748584825,10,Low
Ward1,177,5.678347228434557,8.978495377539213,23,High
Ward1,40,8.26061954291698,3.0511026095618528,5,Low
Ward5,9,6.443129848342151,2.5728928872068044,6,Low
Ward3,149,8.359363015361536,2.501324330763321,13,Medium
Ward2,95,7.222657266522579,4.1408883749870995,11,Medium
Ward1,87,6.034160051674846,6.2509468133482535,15,Medium
Ward1,16,7.9505053263748655,6.3493536144788,12,Medium
Ward4,53,7.792371830246029,6.642297501056171,11,Medium
Ward3,107,5.705293181204792,8.916903975448857,20,High
Ward1,97,8.418362775797966,7.907273819767118,17,Medium
Ward5,12,6.93064700056358,1.1182272123076502,3,Low
Ward3,127,7.690273633270313,5.217655084714983,13,Medium
Ward2,169,5.835699284634253,3.817131727036651,17,Medium
Ward1,60,6.8887602613577545,6.719654453658053,13,Medium
Ward5,52,6.891573351700886,2.123402888005087,9,Low
Ward2,19,7.569141835134827,8.839699968184155,12,Medium
Ward2,89,7.057246966635969,8.289898395961746,16,Medium
Ward1,39,8.244366060225802,6.799249762812936,10,Low
Ward5,98,8.0779534182928,8.473596130336055,15,Medium
Ward1,50,6.322359325500557,6.0447699148245295,10,Low
Ward2,97,8.067485101761783,2.7553373740783655,9,Low
Ward2,199,6.285800503814309,5.718483144561094,20,High
Ward4,137,6.141079712888743,7.905560575795899,19,High
Ward4,125,6.1641901027246035,2.927009231385836,13,Medium
Ward2,68,6.631247797622002,1.2396509622245933,6,Low
Ward1,92,7.480188924069178,7.210678247546895,14,Medium
Ward4,136,7.305413080394273,6.8946502983706495,16,Medium
Ward3,5,6.921511318568603,5.362694061679792,9,Low
Ward2,170,5.5848085093058195,1.6117177392236206,14,Medium
Ward2,182,6.1078063756589875,4.880635796443339,14,Medium
Ward2,72,6.486457796305096,4.096586716910494,9,Low
Ward1,51,7.762917851728896,2.8965915287498865,6,Low
Ward1,42,7.414656131861,6.374145726519842,12,Medium
Ward3,98,8.335925319999848,4.830052512353922,12,Medium
Ward3,91,7.872940499378851,7.742101309673862,16,Medium
Ward4,182,6.400243137776069,1.7209327942544435,11,Medium
Ward2,136,7.662914071918221,5.029185045115995,13,Medium
Ward5,187,5.728566427096964,5.571295299507587,18,Medium
Ward1,174,8.200818854005604,9.03984707659458,20,High
Ward3,84,6.031483493315252,6.1516460119118435,13,Medium
Ward2,28,5.70818788236989,5.78312489950013,10,Low
Ward2,174,7.1427743604599545,8.613308113114808,19,High
Ward5,116,8.080710992269346,6.030134300448445,13,Medium
Ward3,92,7.65078700507741,9.88593557327584,18,Medium
Ward4,77,5.774674786640017,3.351683472998991,10,Low
Ward4,29,7.050066348764615,7.362606207238849,10,Low
Ward4,170,6.7701206677479115,2.593084348407528,14,Medium
Ward3,115,6.32675167241636,1.5565606506766057,7,Low
Ward3,58,6.217947122312514,2.0869046587830677,7,Low
Ward4,31,8.229950544603806,2.6079974166191953,7,Low
Ward3,140,5.8664622222664455,6.66704272869855,17,Medium
Ward2,164,5.709108587238238,6.344595796146493,17,Medium
Ward3,21,6.164446167200587,5.205212415338984,10,Low
Ward5,9,8.132081424084438,5.029201001310657,6,Low
Ward3,77,5.809898890321612,9.5502854227019,17,Medium
Ward3,172,5.981282165769018,8.830735421933019,19,High
Ward1,18,8.028699520578549,1.6102624090685838,6,Low
Ward4,76,8.254117217314095,1.7889363896116035,8,Low
Ward4,62,7.602178109447614,5.862348463572099,11,Medium
Ward5,93,6.040349379359175,6.574007719040368,16,Medium
Ward5,97,6.817358373392054,8.739681080583125,19,High
Ward4,183,6.78624634682754,6.2871825643010935,16,Medium
Ward3,51,6.933586013296663,2.209047477901265,9,Low
Ward5,180,6.483601975997056,3.2022300490015927,16,Medium
Ward3,70,5.704203286722093,4.479387652513967,11,Medium
Ward1,38,8.394966772332742,3.6479411941982924,7,Low
Ward1,170,5.542276882577329,7.44351129516155,17,Medium
Ward5,109,6.1528333080967,9.143612014218256,18,Medium
Ward5,26,7.443311899562444,2.6181486792367696,6,Low
Ward5,59,6.2242562438967965,4.662297947164221,12,Medium
Ward3,19,6.346110877189439,3.359965783180897,6,Low
Ward1,154,6.798815526202489,4.217600505973973,16,Medium
Ward5,82,6.30595037171868,8.274502123348421,16,Medium
Ward2,23,8.06606923778611,8.995477909558474,14,Medium
Ward3,138,6.2409800640837485,5.9910004512597235,18,Medium
Ward4,121,6.849494560260277,9.42277149961951,19,High
Ward5,156,6.267124684528797,4.892970967638023,14,Medium
Ward4,80,6.5258585089073575,2.301379487542871,6,Low
Ward3,90,6.260188103458899,7.23124109461068,15,Medium
Ward2,199,5.9895296846771515,6.742698487035135,19,High
Ward4,189,7.340766083508507,6.834814805468121,20,High
Ward4,40,7.931340832580068,2.227106056198436,5,Low
Ward1,46,6.786797002089709,5.475602673275647,8,Low
Ward4,147,7.983932843697378,8.618467350309658,19,High
Ward3,195,5.93639683079866,5.586519647958028,16,Medium
Ward3,42,7.400422037867263,2.122761700622613,4,Low
Ward3,131,7.417380546159714,6.090959012895348,13,Medium
Ward1,62,5.690607872232121,3.745235612691114,9,Low
Ward1,163,6.9648469684573975,1.564440179444483,12,Medium
Ward2,24,5.822526628555503,6.613033698979317,12,Medium
Ward2,174,5.683110043359013,7.33167397994573,18,Medium
Ward1,97,5.772963922951988,1.0345943773019566,6,Low
Ward4,54,7.885903502216928,5.3911084526165824,9,Low
Ward4,79,6.1876150818761975,4.904950385905305,9,Low
Ward3,33,7.299076631206647,4.706496315296014,8,Low
Ward3,67,8.26284164687539,7.067547076900121,13,Medium
Ward5,185,8.415160073729307,1.023032568452226,12,Medium
Ward5,186,7.79800925068646,6.860435592233193,17,Medium
Ward3,120,6.041405526985347,6.678632803055774,18,Medium
Ward4,23,7.435388269689,8.427795204342512,13,Medium
Ward3,154,6.1706293258991325,4.306263322566444,13,Medium
Ward3,149,5.713898825876705,4.016336448787968,15,Medium
Ward4,2,8.109421269798819,1.0495974154772474,3,Low
Ward4,180,6.754408401175947,1.2317813416592505,14,Medium
Ward5,174,6.661070215166723,3.0257369284135804,16,Medium
Ward3,74,5.9308209936226275,1.74882372792288,6,Low
Ward5,76,6.067619974190977,4.062039066945626,9,Low
Ward5,28,6.6642922699151725,3.424577768368522,8,Low
Ward4,94,7.253588515950828,4.820996576169005,14,Medium
Ward1,192,7.455367828030271,4.623911669574273,17,Medium
Ward5,10,6.374044701310853,2.9358072989462203,7,Low
Ward4,97,8.254775767396174,1.3575583601477632,10,Low
Ward2,42,6.547502238871232,9.43526855915604,15,Medium
Ward5,177,6.9218541732861185,3.31204167023089,16,Medium
Ward1,55,6.321429112474326,3.955252510788311,7,Low
Ward5,30,7.51428751324382,2.2851395452270036,7,Low
Ward3,31,6.210606110670995,4.47403609920336,9,Low
Ward2,128,5.728071638326321,8.867133420382256,21,High
Ward4,44,6.351405504840622,5.750621165061635,9,Low
Ward1,93,6.249371602559167,7.7753965169588195,16,Medium
Ward3,94,6.477901621926957,7.970295394135716,18,Medium
Ward4,128,6.908437085679777,2.8968805222183485,10,Low
Ward4,66,6.510918051833942,5.575691850816448,13,Medium
Ward1,128,5.994168256282996,4.173797714402819,15,Medium
Ward3,188,7.4011713490411,7.877467427185301,22,High
Ward4,104,7.63481757679867,2.4537105105161685,8,Low
Ward2,163,5.546210559375763,8.857613336023896,19,High
Ward1,110,5.753886998837718,4.984311268595208,12,Medium
Ward4,25,6.764973658097353,8.774462309513067,12,Medium
Ward4,61,5.876629329426171,7.95597041950406,15,Medium
Ward1,185,6.9593222295111845,3.1546993972398036,17,Medium
Ward4,100,7.341802007154103,9.761386575926768,16,Medium
Ward4,199,8.322483889604198,7.157962458849048,21,High
Ward3,10,7.604140883900039,6.444341856768536,9,Low
Ward2,132,6.9124480620135875,3.3943867857126335,13,Medium
Ward1,72,7.226408853046876,7.294363199037241,12,Medium
Ward3,64,8.118058494758387,4.794993413647383,9,Low
Ward3,80,5.73768943257736,3.7035277369323953,10,Low
Ward2,163,7.295394079313909,5.745407108368752,17,Medium
Ward3,121,7.732220863187809,4.739371091941095,15,Medium
Ward3,153,6.181003495643974,6.363841470517124,15,Medium
Ward5,151,5.9855431423715055,8.603852664121652,17,Medium
Ward3,68,7.286875294404849,6.390867600760778,11,Medium
Ward4,20,7.750951553724057,9.533885483688627,12,Medium
Ward1,176,7.482787050470389,4.910388119178302,14,Medium
Ward2,21,8.065570851712407,6.44204847114269,9,Low
Ward4,30,6.4843530577641655,9.168662802179105,15,Medium
Ward3,49,5.880207127426026,6.308412832989003,11,Medium
Ward2,140,8.05274258080798,6.912386760926774,19,High
Ward4,32,6.81427871991761,1.4744186896114528,6,Low
Ward3,28,8.059929150075291,7.492087537727084,14,Medium
Ward5,159,6.614963730172548,3.200031994344498,15,Medium
Ward4,17,6.778984098980203,8.729448167813091,13,Medium
Ward5,149,5.740182931813652,5.335266547190594,14,Medium
Ward2,52,7.612940195151729,7.134808038423606,15,Medium
Ward1,84,6.1171669546733956,9.933112530762122,20,High
Ward2,65,6.201306077812318,2.5901100376510726,9,Low
Ward4,103,7.109009619403115,6.82797205091814,15,Medium
Ward3,145,6.782995299090892,1.894965066240303,12,Medium
Ward3,11,8.022289168697172,9.396984483202685,11,Medium
Ward4,91,6.973329883912888,1.7935631311796296,10,Low
Ward4,122,6.095774509161779,1.2292861220093827,9,Low
Ward1,166,7.139860075194257,2.634484826445447,11,Medium
Ward3,168,7.976927225307989,4.520953914269205,13,Medium
Ward3,82,6.414981927505648,8.838510482449479,15,Medium
Ward3,113,7.888947517046504,5.542599976755593,12,Medium
Ward2,94,8.043157291207597,7.757759218274952,16,Medium
Ward5,135,5.9541267099783965,6.7183386533960805,15,Medium
Ward4,114,8.017138130103937,4.298609946718168,13,Medium
Ward5,109,6.093498353943758,4.863976503548431,13,Medium
Ward4,85,8.478102620994454,5.669238256600727,15,Medium
Ward3,91,6.733251237205543,8.954154544403924,18,Medium
Ward2,164,6.303735308146081,8.535239416134361,18,Medium
Ward4,8,5.815566661840224,1.8664135638515553,6,Low
Ward5,160,6.961581727220271,4.779941968092167,17,Medium
Ward3,80,7.410030141970623,7.093529063389428,14,Medium
Ward1,119,6.5656281680189315,9.767913651055823,20,High
Ward5,148,7.984869641574677,3.191842908044583,15,Medium
Ward3,68,5.746595775207826,4.019962037419026,8,Low
Ward5,163,8.188967670412014,8.857849404426766,18,Medium
Ward4,53,5.8672878852591515,9.820382084417624,16,Medium
Ward2,25,8.274222440615116,4.48290310830663,7,Low
Ward4,121,7.043542185051667,4.580485594855043,13,Medium
Ward1,79,5.8482286509467505,2.5957507381810245,10,Low
Ward2,192,6.22753545439746,4.079139646956505,16,Medium
Ward3,69,6.372214269948123,9.832512439337451,15,Medium
Ward4,109,8.416804010319602,2.794701952032043,8,Low
Ward2,123,6.4085749141527355,7.675343202083998,15,Medium
Ward5,53,5.674412188624779,6.3998832819913964,14,Medium
Ward3,99,7.667344577221344,1.688745336410825,6,Low
Ward3,189,7.8406737390740915,5.918091316312876,19,High
Ward1,77,8.165188717557417,3.377382404372929,8,Low
Ward3,6,7.3129205310066165,9.629222640733005,14,Medium
Ward5,198,8.347217324166827,9.57111877803285,23,High
Ward5,82,6.7120048271631365,2.225018388233099,7,Low
Ward1,45,6.351230627272,4.765709792970994,10,Low
Ward3,118,8.291679457749535,8.763550250546999,16,Medium
Ward1,34,5.5243723611236994,4.273660124297864,10,Low
Ward2,136,6.132312826261057,5.525419451665641,13,Medium
Ward5,38,6.967143438887689,1.2103305533759432,6,Low
Ward3,178,7.52024310893424,6.653811194794938,17,Medium
Ward4,110,7.184473776398123,4.222719226116422,11,Medium
Ward3,118,7.634064546157908,7.187678633751806,18,Medium
Ward5,101,5.969011130140572,1.2494930152932868,6,Low
Ward4,25,7.633774587208611,5.8173494856169885,9,Low
Ward5,52,7.819266302841463,1.942573716287188,5,Low
Ward1,181,8.257712512768517,7.885046334683286,18,Medium
Ward1,33,8.188130474725007,9.754483175675423,14,Medium
Ward5,85,5.711626134231097,1.66119988924111,10,Low
Ward5,63,8.025210478557549,7.166556972169296,11,Medium
Ward3,172,6.560943361201016,3.284549941124685,12,Medium
Ward3,14,5.57777737835281,5.153691279224031,7,Low
Ward1,3,8.154045682927883,7.939048221592141,10,Low
Ward1,91,5.583454481688494,1.902629847474259,10,Low
Ward5,6,7.070665914150679,9.567416508111325,13,Medium
Ward2,47,6.496738501869617,6.188104257738521,13,Medium
Ward2,90,8.47121859066984,7.965246249608216,15,Medium
Ward1,92,8.484465610643602,2.9950017537300795,9,Low
Ward2,11,6.14608988016551,6.361336585885158,11,Medium
Ward1,130,8.378411820549346,1.3407632894838746,10,Low
Ward3,95,6.602803805225307,4.666825098132806,11,Medium
Ward2,75,7.4961514579568265,2.653115037859573,6,Low
Ward4,107,5.833737017702305,7.822554923197977,15,Medium
Ward2,149,8.17152049723627,4.436581570801851,12,Medium
Ward1,165,6.177420767293706,9.7418842234589,21,High
Ward5,9,7.128706826027583,7.228650058845773,13,Medium
Ward2,141,7.395984851389411,2.8956536057692217,12,Medium
Ward1,165,6.833044472338382,1.7539745846091446,10,Low
Ward4,161,6.757764828353892,8.742246964586574,19,High
Ward3,124,5.603293795921287,5.645786149693621,14,Medium
Ward2,38,6.3055085440840495,2.4841852741527424,7,Low
Ward3,187,6.3840761246827125,3.426892310431463,17,Medium
Ward5,91,7.607569101884202,5.46511556124875,12,Medium
Ward2,73,6.3674401223631305,2.4499942096600194,9,Low
Ward1,42,6.056141573943407,9.39840186540903,13,Medium
Ward3,132,6.708242809950581,8.689946323356658,21,High
Ward5,156,6.055952937813053,9.526383261585634,22,High
Ward4,82,7.572911440604074,3.783818008666545,11,Medium
Ward5,94,7.485665103510392,4.904558444374533,13,Medium
Ward5,168,6.895401830554232,8.260721296973772,22,High
Ward2,165,8.469891493920361,9.837986038461258,24,High
Ward5,141,6.032288610604786,8.393020662036676,19,High
Ward4,182,8.349534425261986,6.948651965084508,21,High
Ward4,79,8.34329219830482,8.64937481708277,18,Medium
Ward1,106,8.036768010925941,5.7777576403490185,14,Medium
Ward3,57,6.074276790197913,4.6187583875896,10,Low
Ward5,188,6.559442972649946,9.692278829446613,23,High
Ward4,180,8.109928540814822,1.7936978101435908,14,Medium
Ward2,119,8.181627747951483,7.545125828415017,19,High
Ward2,174,6.51535415235475,1.24442946393276,13,Medium
Ward5,178,7.795473538405744,2.783972339853716,13,Medium
Ward1,32,7.173475911144731,5.555180159454113,10,Low
Ward2,183,7.060940907589949,8.456213332769241,21,High
Ward4,64,5.994076295536274,4.406912331331174,10,Low
Ward1,115,7.72581857636823,3.338125239739731,9,Low
Ward1,91,5.742261723436236,1.7518078635556698,9,Low
Ward5,152,7.540535005148887,2.573395983229375,12,Medium
Ward1,54,5.75284915430967,6.626089614749406,11,Medium
Ward3,109,8.187187325586113,9.548617499920786,16,Medium
Ward2,85,6.718865283064945,7.693742767160977,16,Medium
Ward4,170,6.200070089233585,1.0551539685847175,13,Medium
Ward4,148,6.263802266981731,7.895695286825395,17,Medium
Ward2,144,5.998214889541042,7.677426544231584,20,High
Ward5,196,6.593096439571084,9.030465363485552,22,High
Ward1,12,7.32850577732049,4.758691121327649,9,Low
Ward3,22,6.076835111610034,7.010539269481042,12,Medium
Ward4,21,7.4524937700270915,8.614491393128223,15,Medium
Ward4,164,7.2345217552256145,4.588439892661076,17,Medium
Ward2,136,6.626381849387738,8.376331096881014,19,High
Ward1,123,6.525846291357354,7.927291233661309,18,Medium
Ward5,61,5.856920011519044,9.106679935645598,15,Medium
Ward2,57,5.614390817733862,6.861354654753329,11,Medium
Ward3,132,7.617782100294157,9.054455681376318,21,High
Ward5,75,7.45119439745236,6.34861768227998,15,Medium
Ward2,54,6.244334392180525,8.610534660080308,13,Medium
Ward4,190,8.342689708931626,5.017440177284478,19,High
Ward2,169,7.453022827925485,4.3403246601645655,13,Medium
Ward2,49,7.123598015611247,6.21316941775538,11,Medium
Ward1,92,5.532239252725761,5.165423206280857,11,Medium
Ward1,187,6.655429900677642,3.444577013562998,15,Medium
Ward4,179,6.437218872921616,4.274054868621285,15,Medium
Ward5,37,6.016656067357826,7.2136026631137575,11,Medium
Ward5,185,5.618234536553333,3.1740257560677763,13,Medium
Ward4,56,8.067874760406871,2.8637327964391917,10,Low
Ward1,166,7.931887310340705,8.739987324223105,21,High
Ward4,37,8.303336477588754,6.572076699264945,11,Medium
Ward2,40,7.067907066460698,4.328895346000702,7,Low
Ward1,119,8.143781326565833,9.671039754488765,20,High
Ward1,142,7.849483054184802,3.2518975343459013,11,Medium
Ward4,56,7.100947228251193,7.654490086117438,15,Medium
Ward3,60,6.220435306122455,4.473188499019917,9,Low
Ward3,166,6.672756134504374,2.930183840199878,15,Medium
Ward1,82,7.040979880166237,9.583189966420864,16,Medium
Ward1,73,7.106142675191565,8.76555082520754,15,Medium
Ward2,18,7.390798801936725,5.3186328683294954,10,Low
Ward5,77,7.669172446389965,6.366586443865784,15,Medium
Ward2,45,6.204903372774517,4.488110626342956,7,Low
Ward3,31,7.187024070641894,8.594803813243804,13,Medium
Ward2,154,7.918843293259725,5.329825374311939,17,Medium
Ward3,68,6.569340675072148,7.408381596186452,15,Medium
Ward2,24,5.826831959632987,2.4786980881079512,5,Low
Ward3,20,6.006889864515666,1.1006988733554486,3,Low
Ward2,183,5.8299279173359615,9.44847256032038,21,High
Ward4,67,7.760087372732908,9.358759763385246,14,Medium
Ward3,188,6.096583579954173,9.755807525505384,22,High
Ward1,117,7.4175542676047375,7.736682880807783,18,Medium
Ward2,119,6.182218361722351,1.27651573694127,7,Low
Ward5,153,7.925234069818425,2.1762354195764924,14,Medium
Ward5,24,8.401048289702382,7.41495762617084,12,Medium
Ward4,26,6.500830686543694,9.5878045668663,14,Medium
Ward4,19,6.577146985674599,4.393278331456314,6,Low
Ward3,27,7.713986489211523,7.516763603776667,13,Medium
Ward2,125,7.101123263902829,5.9552160310707585,14,Medium
Ward4,156,6.072627479695941,4.288696991360401,14,Medium
Ward5,91,5.510664281393278,7.510249399548755,14,Medium
Ward2,107,6.7169338370028235,3.2057847173854324,9,Low
Ward1,0,6.937947834406206,6.086408711947708,7,Low
Ward2,158,7.64748085857454,5.7176705311179505,14,Medium
Ward4,152,5.84773719625575,4.888419438728227,16,Medium
Ward4,180,6.723849967142103,8.87272857913927,21,High
Ward3,15,7.19719643988779,9.179272290700512,12,Medium
Ward1,173,6.680717881475443,5.759585160717889,19,High
Ward1,154,5.9425075161908065,9.30374825219804,21,High
Ward4,79,7.357118904176413,2.7725323502261503,7,Low
Ward1,43,6.710076083384735,4.810733613089486,8,Low
Ward5,72,6.898926967628024,5.419076762196363,14,Medium
Ward5,37,6.9026501591960185,7.002482888745776,10,Low
Ward2,150,7.475704124675086,2.630758437584755,12,Medium
Ward4,114,8.440998655411983,3.0014487417805817,10,Low
Ward1,172,7.304300229096365,7.533629612639335,21,High
Ward5,67,7.5722168820959705,7.022009125364382,15,Medium
Ward2,169,6.081053845910029,1.6940424512094718,13,Medium
Ward3,13,8.395076634315027,6.7703536673316504,10,Low
Ward5,150,6.065732810498403,4.967849798400618,14,Medium
Ward2,198,6.886474290074071,5.613847720814059,17,Medium
Ward3,97,7.410696071242368,5.857641130877225,15,Medium
Ward4,38,8.22669330742977,6.2213923083952745,12,Medium
Ward1,22,6.777173235955349,6.418070546248012,8,Low
Ward4,173,7.611998494839666,5.232690323039577,17,Medium
Ward1,62,8.447434355506132,2.5486959864600633,7,Low
Ward3,67,7.063175706616105,6.878693200442076,12,Medium
Ward5,108,8.048113302191965,5.053416782245482,11,Medium
Ward2,81,7.3581764970902785,9.826291327202021,17,Medium
Ward1,121,7.137484386594996,8.183755411130441,15,Medium
Ward3,61,5.866783690690008,7.014600898757216,11,Medium
Ward2,53,7.895860924834093,8.44091864564616,12,Medium
Ward1,72,6.7554904526175275,5.876191655044582,13,Medium
Ward1,158,7.4243643099034,1.041736236445019,13,Medium
Ward2,24,5.632978772469061,7.257581492337026,12,Medium
Ward2,189,7.415341347142258,8.431270406624954,19,High
Ward1,144,5.890726502718295,6.896811585022621,17,Medium
Ward1,95,5.632934967499314,3.1036092410485954,9,Low
Ward4,70,5.953223555414295,5.7070767856101785,12,Medium
Ward1,44,6.676197606791161,3.5548076437606237,10,Low
Ward1,17,5.752259062539789,8.777296852876242,15,Medium
Ward3,107,7.062059694604075,9.408955381575225,19,High
Ward5,0,6.853270002402319,7.667054023746806,11,Medium
Ward2,36,6.254978752456971,3.6651693114631394,9,Low
Ward5,176,6.053486813470533,5.5890854032879815,15,Medium
Ward2,94,7.181941931041833,2.646278005866744,10,Low
Ward5,116,8.119250491823307,2.1540784496093766,9,Low
Ward4,58,8.443509267630446,3.8786647676248185,7,Low
Ward1,20,6.658314026127286,3.8541726168130483,7,Low
Ward4,164,7.8065585448632735,6.767044340066615,19,High
Ward4,49,6.196300065539005,6.651657342837124,10,Low
Ward2,127,6.761108706408355,4.83517702382241,13,Medium
Ward5,130,5.885287144910891,4.770841423826736,15,Medium
Ward4,59,8.26765495156113,6.7033150599907065,12,Medium
Ward3,22,7.287489826176104,3.1615636044796,8,Low
Ward4,89,7.1184726727796495,7.743527084144726,14,Medium
